,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
110,FIIP11B,Híbrido,"169,23","10,00%","9,45%","0,91",156.904.000,80.388,7,"2.228,02","253,56","11,38%","0,00%","AVENIDA GENERAL DAVID -SARNOFF, Nº 4.840 - CONTAGEM  MG,RUA DR. MELLO FREIRE S/N - SÃO PAULO  SP,RUA ALFREDO PINTO Nº 91 - SÃO JOSÉ DOS PINHAIS  PR,RUA JOÃO FURLAN, S/Nº - OSASCO  SP,AV. RONAT WALTER SODRE, Nº 2.800 - IBIPORÃ - PR,AVENIDA NILO PEÇANHA Nº 296, ESQUINA COM A VIA LIGHT - NOVA IGUAÇU  RJ,RUA A , QUADRA D LOTES 11, 12 E 13 - ILHÉUS  BA"
111,FISC11,Lajes Corporativas,"165,00","0,33%","1,83%","1,43",280.499.000,0,4,"20.808,60","675,74","3,25%","6,31%","Rodovia SC 401, KM 5,Rodovia SC 401, ao lado direito da rodovia no sentido Centro/Praia e ao lado direito do empreendimento SC-401 Square Corporate,Rua Alfredo Chaves, 1208 - Caxias do Sul/RS,Rodovia SC 401"
112,FISD11,Títulos e Val. Mob.,"203,32","-21,06%","0,00%","2,72",218.079.000,0,1,"0,00","0,00","0,00%","0,00%",
113,FIXX11,Títulos e Val. Mob.,"85,78","5,46%","0,00%","1,31",321.608.000,0,0,"0,00","0,00","0,00%","0,00%",
114,FLCR11,Títulos e Val. Mob.,"92,00","15,50%","14,43%","0,94",58.291.600,143.253,0,"0,00","0,00","0,00%","0,00%",
115,FLMA11,Híbrido,"139,00","7,86%","7,66%","0,87",191.913.000,80.792,2,"11.016,40","951,66","8,64%","0,00%","Rua Tabapuã, 500,RUA DAS OLIMPIADAS, 205"
116,FLRP11,Shoppings,"1.848,98","7,62%","7,99%","1,01",120.613.000,8.541,1,"2.457,35","197,99","8,06%","2,92%","Rodovia Virgílio Várzea, 587 - Saco Grande II, Florianópolis - SC"
117,FMOF11,Lajes Corporativas,"59,49","0,72%","0,75%","0,50",30.221.400,20.438,2,"1.788,73","153,51","8,58%","37,06%","Rua Júlio Gonzales, 132,Rua Julio Gonzales, 132"
118,FPAB11,Lajes Corporativas,"175,19","12,72%","10,34%","0,47",131.392.000,4.438,2,"2.859,28","465,11","16,27%","50,59%","Avenida Francisco Matarazzo, 1.500,Avenida Francisco Matarazzo, 1500"
119,FPNG11,Lajes Corporativas,"69,50","8,87%","12,26%","0,42",100.365.000,5,7,"17.585,80","1.195,78","6,80%","19,62%","Rua Gonçalves da Guia, 8 - Itauna -MG,Rua Maria Luiza Santiago, 200 - Belo Horizonte MG,Rua Tabapuã, 500,Rua Antonio de Albuquerque, 195 - Belo Horizonte MG,Rua Amazonas, 4338 - Belo Horizonte MG,Rua Paraiba, 550 25º and. Belo Horizonte MG,Rua Levindo Lopes, 258 Belo Horizonte MG"
120,FRBR11,Títulos e Val. Mob.,"103,71","10,71%","0,00%","1,05",575.259.000,0,0,"0,00","0,00","0,00%","0,00%",
121,FTCE11B,Híbrido,"2.900,89","-2,38%","4,11%","0,99",2.811.560.000,343,61,"2.177,25","47,64","2,19%","0,00%","Rua Dom Gerardo nº42, centro, Rio de Janeiro,Av. Presidente Antonio Carlos, 51, centro , Rio de Janeiro,Gleba III da Rua de Acesso 2º Seguimento (Rua Projetada) - Niterói, RJ,Rua Conde de Bonfim nº149, centro, Rio de Janeiro,Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ,Rua Barão da Torre, nº 662,Travessa do Ouvidor nº9, centro, Rio de Janeiro,Fazenda cachoeirinha, Bom Despacho, Minas Gerais,Avenida Santos Dumont, 979, Setor Oeste, Itumbiara - GO,Rodovia Darly Santos - Vila Velha - ES,R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES,Rua Assunção 260, Botafogo,R. Machado de Assis, 40 - Flamengo, Rio de Janeiro - RJ, 22220-060,Rua Sete de Setembro nº155, centro, Rio de Janeiro,Praia Rasa, Búzios - RJ,Praia Rasa, Buzios - RJ,Rua Buenos Aires nº48, centro, Rio de Janeiro,Rua Conde de Irajá, nº 439, Botafogo, Rio de Janeiro - RJ,Praia Rasa, Búzios - RJ,Rua Dom Gerardo nº46, centro, Rio de Janeiro,Rua Primeiro de Março nº19, centro, Rio de Janeiro,Sorocaba, 420, 422 e 436,Rodovia Darly Santos, S/n°, Gleba I, Vila Velha  ES,Avenida Marechal Camara nº160, centro, Rio de Janeiro,Alberto de Campos, 100,Rua Uruguaiana nº 76, centro, Rio de Janeiro,Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro,Largo de Santa Rita, 10, Centro, Rio de Janeiro,Rua Visconde de Pirajá, 484 e 486,Rua Arturo Toscanini, Belo Horizonte - MG,Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.,Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ,Rua Teofilo Otoni 24,Praia Rasa, Búzios - RJ,Av. Mem de Sá, 102, Centro, Rio de Janeiro.,Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ,Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia,Praia Rasa, Búzios - RJ,Rua Guarda Mor Custódio, Centro, Itabira - MG,Rainha Guilhermina, 75 , Leblon,Visconde de Inhaúma, 95,Rua Elesbão Linhares, n 503, Vitória - ES,R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ,Sorocaba, 420, 422 e 436,Rua Uruguaiana nº 78, centro, Rio de Janeiro,Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro,Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ,Avenida Epitácio pessoa, 3744 e 3800,Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ,Rua da Carioca, centro, Rio de Janeiro,Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ,Av. Vereador Hermínio Moreira - Itaboraí, RJ,Praia Rasa, Búzios - RJ,Barão de Mesquita nº164, Rio de Janeiro,Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF,Rua Senhor do Passos nº107, centro, Rio de Janeiro,Praia Rasa, Búzios - RJ,Praia Rasa, Buzios - RJ,Rua Miguel Couto, 98,Avenida Rio Branco nº45, centro, Rio de Janeiro,Praia Rasa, Búzios - RJ"
122,FVBI11,Lajes Corporativas,"159,71","0,00%","0,00%","0,00",0,0,1,"0,00","636,95","0,00%","0,00%","Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060"
123,FVPQ11,Shoppings,"107,23","9,50%","8,29%","0,56",300.260.000,32.097,1,"5.156,20","878,18","17,03%","5,00%","Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ"
124,FZDA11,Outros,"163,91","-0,42%","1,35%","1,65",254.060.000,7.154,6,"2,74","0,00","0,00%","0,00%","Zona rural dos munícipios de Balsas,Zona rural dos munícipios de Balsas,Zona rural dos munícipios de Balsas,Zona rural dos munícipios de Riachão,Zona rural dos munícipios de Balsas,Zona rural dos munícipios de Balsas"
125,GALG11,Híbrido,"9,10","10,17%","9,72%","0,99",523.116.000,832.904,5,"5.080,24","489,95","9,64%","0,00%","ESTRADA MUNICIPAL DO CAJURU, 655, São José dos Campos/SP,RODOVIA BR - 324, 13.750, SALVADOR/BA,RODOVIA PE 50, S/Nº, KM 02, Vitória de Santo Antão/PE,AV. FREDERICO AUGUSTO RITTER, 8.000, CACHOEIRINHA//RS,RUA DAVID CANABARRO S/Nº, Canoas/RS"
126,GAME11,Outros,"8,79","9,02%","14,36%","0,88",190.723.000,211.075,0,"0,00","0,00","0,00%","0,00%",
127,GCFF11,Títulos e Val. Mob.,"69,20","12,05%","13,12%","0,89",24.945.000,77.548,0,"0,00","0,00","0,00%","0,00%",
128,GCRA11,Títulos e Val. Mob.,"93,70","7,52%","15,76%","0,96",164.056.000,265.485,0,"0,00","0,00","0,00%","0,00%",
129,GCRI11,Títulos e Val. Mob.,"90,70","10,70%","14,88%","0,95",122.533.000,244.513,0,"0,00","0,00","0,00%","0,00%",
130,GESE11B,Outros,"1.520,00","11,08%","10,49%","0,86",79.040.000,0,1,"6.162,59","705,84","11,45%","0,00%","Rua General Severiano, 159, Botafogo, Rio de Janeiro - RJ"
131,GGRC11,Logística,"121,63","8,08%","9,54%","0,96",989.353.000,1.384.310,16,"1.255,68","113,97","9,08%","0,00%","Av. Maria Luiza Pompeo de Camargo, 333,Loteamento Polo Empresarial VTO Igarassu 1 - Igarassu - PE,Rua Maria Rufino dos Santos Medeiros, 201 Distrito Industrial - João Pessoa - PB,Guabirova, Pelotas - RS,LOTE C123,Rodovia Palmiro Paes de Barros, 290, Vista Alegre  Cuiabá - MT,Alameda das Aroreiras, nº 195, Casa Amarela, Betim - MG,Rua dos Portugueses,Rua Álvaro Camerin, nº 51, Distrito Industrial  Tietê - SP,Acesso pelo KM 117,5 Rodovia BR 101, Itajaí - SC,Avenida CTR Empresarial, KM 1.480 BR 497, Uberlândia-MG,Rodovia Federal BR 277, S/N KM 600+400, São Miguel do Iguaçu - PR,BR 153, nº 3469, Zona Urbana, Anápolis - GO,Rodovia BR 153, s/n, quadra AREA, lote 00C, anexo A, Jd. Paraíso I, Aparecida de Goiânia - GO,Avenida Amâncio Gaiolli, 1943 - Guarulhos - SP,Rua Antonio Felamingo, lote 6, quadra A - bairro Macuco, Valinhos-SP"
132,GLOG11,Logística,"67,82","19,91%","0,88%","0,64",50.865.000,48.079,1,"696,71","166,70","23,93%","0,00%","Rodovia PE-060  Km 14,5  Ipojuca, Pernambuco"
133,GRLV11,Logística,"145,50","5,72%","0,00%","24,38",156.199.000,0,1,"0,00","183,00","0,00%","3,69%","Rua Atílio Biscuola, 1831 - Louveira - SP"
134,GRWA11,Títulos e Val. Mob.,"10,19","0,04%","2,91%","1,01",12.911.700,19.236,0,"0,00","0,00","0,00%","0,00%",
135,GSFI11,Shoppings,"6,60","0,00%","0,00%","0,47",496.308.000,643.927,0,"0,00","0,00","0,00%","0,00%",
136,GTLG11,Logística,"97,00","8,70%","8,60%","1,06",695.781.000,5.383,5,"4.122,42","309,21","7,50%","3,05%","Av. Piracema, 155 - Barueri - SP,Av. Piracema, 155 - Barueri - SP,Rodovia Anhanguera, Km 31,7 - Cajamar - São Paulo,Av. Hélio Ossamu Daikuara, 1.445 - Embu das Artes - São Paulo,Rua José Semião Rodrigues Agostinho, 1370 - Embu das Artes - São Paulo"
137,GTWR11,Lajes Corporativas,"79,70","11,72%","11,40%","0,84",956.400.000,985.018,3,"10.601,70","1.331,53","12,56%","0,00%","Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF,Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF,Setor de Autarquias Norte - Quadra 5 - Lote B - Brasilia / DF"
138,GURB11,Híbrido,"103,00","-1,59%","0,82%","0,94",116.921.000,1.099.850,2,"20.301,50","3.027,88","14,91%","9,70%","Rua Bruno Giorgi, nº 114, Jacarepaguá - Rio de Janeiro,Avenida Flamboyants, nº 855 - Barra da Tijuca"
139,GWIR11,Shoppings,"175,99","2,80%","0,00%","0,74",67.231.200,0,0,"0,00","0,00","4,21%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
140,HAAA11,Lajes Corporativas,"63,20","9,21%","9,65%","0,78",218.356.000,1.448,2,"15.691,50","1.442,86","9,20%","15,20%","Av. Engenheiro Luis Carlos Berrini, nº 105 - São Paulo, SP,Avenida das Nações Unidas, nº 14.261  São Paulo, SP"
141,HABT11,Títulos e Val. Mob.,"94,53","9,33%","14,42%","0,96",768.225.000,1.571.810,0,"0,00","0,00","0,00%","0,00%",
142,HBCR11,Outros,"111,92","9,35%","5,48%","1,08",125.256.000,458.865,4,"7.612,56","654,56","8,60%","0,00%","Rua XV de novembro, número 2.805, bairro Glória, CEP 89216-201, da cidade de Joinville, Estado de Santa Catarina,Rodovia Raposo Tavares, número 6008, km 16, bairro Rio Pequeno, CEP 05576-000, da cidade de São Paulo, Estado de São Paulo,Avenida Adhemar Ferreira da Silva, s/n, Trevo da Rodovia Dom Pedro I (SP-065), Km 129, Vila Brandina, na Cidade de Campinas, Estado de São Paulo,Avenida I, número 208, Quadra B-37, Lote 02, bairro Jardim Goiás, CEP 74810-075, da cidade de Goiânia, Estado de Goiás"
143,HBRH11,Híbrido,"97,39","8,40%","7,69%","0,87",269.985.000,48.920,5,"8.948,21","838,75","9,37%","2,83%","Avenida Pereira Barreto nº 1.479, São Bernardo do Campo/SP, Rua Pequetita, 111, Cidade de São Paulo/SP, Av. Ayrton Senna, 2.500, Barra da Tijuca, na Cidade do Rio de Janeiro/RJ, Av. Domingos Odália Filho, 301, Cidade de Osasco/SP,Avenida Armando Lombardi, 400 Rio de Janeiro - RJ"
144,HBTT11,Títulos e Val. Mob.,"1.055,00","6,53%","0,00%","1,19",190.126.000,0,0,"0,00","0,00","0,00%","0,00%",
145,HCHG11,Outros,"79,32","6,69%","14,63%","0,80",95.184.000,26.614,0,"0,00","0,00","0,00%","0,00%",
146,HCRI11,Hospital,"245,31","8,41%","11,26%","0,80",49.062.000,52.818,1,"8.892,55","1.188,32","13,36%","0,00%","Rua Das Perobas, 344, Vila Parque Jabaquara, São Paulo/SP, Brasil, 04321-120"
147,HCTR11,Títulos e Val. Mob.,"58,75","13,30%","19,26%","0,53",1.297.450.000,5.173.370,0,"0,00","0,00","0,00%","0,00%",
148,HDEL11,Logística,"106,09","0,49%","1,80%","1,07",31.189.400,678,0,"0,00","0,00","0,00%","0,00%",
149,HFOF11,Títulos e Val. Mob.,"73,89","10,32%","10,02%","0,93",1.700.360.000,2.037.020,0,"0,00","0,00","0,00%","0,00%",
150,HGAG11,Outros,"30,78","-1,68%","10,52%","1,40",7.641.200,22.598,0,"0,00","0,00","0,00%","0,00%",
151,HGBS11,Shoppings,"210,00","7,86%","7,84%","0,95",2.100.000.000,1.829.490,12,"4.129,74","326,72","7,91%","6,83%","R Dr. João Ribeiro, 304 - Penha de França, São Paulo - SP,Rua Cap. Pacheco e Chaves, 313 - Mooca, São Paulo - SP,Av. Rio Negro, 1.100, Franca - SP,Rua Sete de Setembro, 555 - Suzano - SP,Rua Manoel da Nobrega, 712, Centro, Diadema - SP,Rua Conselheiro Moreira de Barros, 2.780, São Paulo - SP,Av. José Monteiro Figueiredo, 500 - Duque de Caxias, Cuiabá - MT,Av. Santa Barbara, 777 - Vila Mollon IV, Santa Bárbara D Oeste - SP,Av. das Nações Unidas, 4777, São Paulo - SP,Av. Rotary, 624 - Centro, São Bernardo do Campo - SP,BR-116, 236 - Rio Branco, Novo Hamburgo - RS,Av. Francisco Matarazzo s/n, Bloco B, São Paulo, SP"
152,HGCR11,Títulos e Val. Mob.,"103,87","12,37%","13,69%","1,01",1.601.480.000,3.810.820,0,"0,00","0,00","0,00%","0,00%",
153,HGFF11,Títulos e Val. Mob.,"85,68","9,46%","8,99%","0,96",245.353.000,1.336.990,0,"0,00","0,00","0,00%","0,00%",
154,HGIC11,Títulos e Val. Mob.,"108,09","5,48%","11,19%","0,92",50.014.000,564.866,0,"0,00","0,00","0,00%","0,00%",
155,HGJH11,Lajes Corporativas,"191,29","9,25%","0,00%","0,64",335.342.000,0,2,"26.491,40","2.683,23","10,13%","0,00%","Rua Jerônimo da Veiga, 384 - São Paulo - SP,Rua Amauri, 255 - São Paulo - SP"
156,HGLG11,Logística,"165,48","6,87%","9,75%","1,08",3.881.610.000,8.915.780,19,"3.403,91","232,02","6,82%","13,70%","Rua da Harmonia  Parque Industrial de Betim, Betim - MG,Rodovia BR-381, s/n, km 483, Pista Norte, Jardim Piemonte, Betim, MG,Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ,Avenida Brasil, 3.464, Rio Claro, SP,Rua Atílio Biscuola, 1831, Louveira , SP,Rua Antônio Utrilla, 349, Guarulhos, SP,Rua Iguaçu, 291/383, Blumenau, SC,Rua Ambrósio Molina, 1090/1100, São José dos Campos, SP,Av. Guido Caloi, 1.935, São Paulo, SP,Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP,Rua Tobias Bueno de Oliveira, 701, Monte Mor, SP,Estrada Municipal José Geraldo Aparecido e Rua Josepha Gomes de Souza, Extrema, MG,Estrada do Pedregoso, 900, Freguesia de Campo Grande, RJ,Avenida Parque B, 347, Betim, MG,Rodovia SP 101, Km 9,5, Hortolândia , SP,Avenida das Indústrias, s/n, CPI 5000, Vinhedo, SP,Rodovia Anhanguera, 317.5, Ribeirão Preto - SP,Estrada Joaquim Bueno Neto, 9835, Itupeva, SP,Rodovia BR 101, 5225, Cabo de Santo Agostinho, PE"
157,HGPO11,Lajes Corporativas,"271,97","6,51%","6,89%","0,91",476.779.000,777.502,2,"37.664,60","2.683,23","7,12%","0,00%","Rua Amauri, 255 - São Paulo - SP,Rua Jerônimo da Veiga, 384 - São Paulo - SP"
158,HGRE11,Lajes Corporativas,"134,64","5,14%","7,14%","0,86",1.591.140.000,2.550.440,19,"7.244,56","523,49","7,23%","29,58%","Alameda Campinas, 1.070 - São Paulo - SP,Av Dr Chucri Zaidan, 2460 - São Paulo - SP,Av. Dolores Alcaraz Caldas, 90 - Porto Alegre - RS,Av. Presidente Vargas, 3.131 - Rio de Janeiro - RJ,Rua Verbo Divino, 1.488 - São Paulo - SP,Rua Martiniano de Carvalho, 851 - São Paulo - SP,Rua Flórida, 1.595 - São Paulo - SP,Avenida Brigadeiro Faria Lima, 1.355 - São Paulo - SP,Rua Alegria, 86 - São Paulo - SP,Av. Maria Coelho Aguiar, 215 - São Paulo - SP,Rua Antônio das Chagas, 1.657 - São Paulo - SP,Rua Lauro Muller, 116 - Rio de Janeiro - RJ,Rua Francisco Nunes, 1.395 - Curitiba - PR,Avenida Marcos Penteado Ulhôa Rodrigues, 939 - Barueri - SP,Avenida das Nações Unidas, 11.633 - São Paulo - SP,Rodovia Dom Pedro I, Km 69 - Atibaia - SP,Avenida Eng. Carlos Berrini, 105 - São Paulo - SP,Avenida Braz Leme, 1.000 - São Paulo - SP,Rua José Lari e Rua Pedro Mari, Lotes 13 a 23 - Taboão da Serra - SP"
159,HGRU11,Híbrido,"133,30","7,15%","8,56%","1,08",2.453.580.000,3.687.260,71,"4.603,98","383,27","8,32%","1,10%","R. Treze De Maio, 0186, Amparo, SP,Ladeira Capitão Moraes, 49, Itapecerica da Serra, SP,Praça Bom Jesus, 154, Palmas, PR,Rod. Raposo Tavares, 23.033, Granja Viana, SP,Av. Coronel Cacildo Arantes, 50, Parque Hiléia, Uberaba, MG,R. Dez, 482, Guaíra, SP,R. Nove De Julho, 1223, Mirandópolis, SP,Estrada do Ribeira, 144, Atuba, PR,Rod. BR 230 - Km. 27, s/nº , Esplanada, João Pessoa, PB,Rua Sete de Setembro, 608 e 617, Piraju, SP,Av. Rio Grande Do Sul, 671, Marechal Cândido Rondon, PR,R. Dr. Ataliba Leonel, 671, Taquarituba, SP,Av. Dom Pedro I, 1100, Taubaté, SP,Praça Attilio De Almeida Barbosa, 1156, Campo Largo, PR,R. Barão De Jundiai, 736, 740 e 744, Jundiaí, SP,R. General Osório, 323, Ribeirão Preto, SP,Av. Joaquina Ramalho, 340, Vila Guilherme, SP,Av. Angélica, 2563, Bela Vista, SP,R. Um De Março, 129, Barra Bonita, SP,Rua Amazonas Ribas, 402 e R. São Pedro, 1213, Itararé, SP,R. Deputado Claro César, 200, Pindamonhangaba, SP,Av. Paraná, 4195, Conjunto A, Foz do Iguaçu, PR,R. Dr. Gabriel Rib. Dos Santos, 40, Apiaí, SP,R. Campos Sales, 703, Itapetininga, SP,R. Xv De Novembro, 0352, Paranaguá, PR,Av. Professor Francisco Morato, 2585, Butantã, SP,Rod. BR 050 Km 73, nº 7085, Fazenda Buriti, Uberlândia, MG,Av. Paraná, Esq. R. D. Pedro Ii, 112, Ibiporã, PR,Praça Rui Barbosa, 157, Olímpia, SP,Rod. Curitiba Ponta Grossa, km 65, Barigui, PR,Av.Garcia Rodrigues Paes(Acesso Norte),s/n-Área C4, Joquei Clube II, Juiz de Fora, MG,Av. Dr. Jorge Tibiriça, 565, Cruzeiro, SP,R. São Luiz, 693, Marília, SP,Praça Da Matriz, 106, Tatuí, SP,Av. Armando Lombardi, 940, Barra da Tijuca, RJ,R. Floriano Peixoto, 575, Capão Bonito, SP,R. Vinte E Um De Abril, 162, Lins, SP,Praça Capitão Vicente Dias, 135, São José Do Rio Pardo, SP,Rua Marechal Deodoro, 2785, Ferrazópolis, SP,Rua Quatá, 67, Vila Olímpia, São Paulo, SP,R. Vinte, 776, Barretos, SP,R. Floriano Peixoto, 963, 967, 971 e 975, Itu, SP,R. Assis Figueiredo, 1422, Poços de Caldas, MG,Av. Imperatriz Leopoldina, 550, Vila Leopoldina, São Paulo, SP,Rod. Melo Peixoto, 1314 - BR 369 - Km.159, Pq.Maracanã, Cambé, PR,R. Rui Barbosa, 0226, Araguari, MG,R. Dr. Pinheiro, 294/312, Itapeva, SP,R. Presidente Antonio Carlos, 160, Passos, MG,Rua Padre Adelino, 685, Belém, SP,Av. Rio Branco, 511, Adamantina, SP,Av. Condessa D Vimieiros, 17, Itanhaém, SP,R. Antonio Agu, 126/136, Osasco, SP,Rod. Dom Pedro I, km 132, Parque Imperador, SP,Rua Lúcia Viveiros, 4511, Neópolis, Natal, RN,Av. Presidente Roosevelt, 902, Dracena, SP,Av. Barão De Mauá, 74, Mauá, SP,Av. Horácio Klabin, 205 e 215, Telêmaco Borba , PR,Rod. Fernão Dias, 3700 - Km 3,5, Riacho Pedras, Contagem, MG,Av. Rui Barbosa, 447, Carapicuíba, SP,Praça Antonio Carlos, 190, Machado, MG,Av. Mate Laranjeiras, 496, Guaíra - PR, PR,Rua Xingu, 179, Stiep, BA,R. São Paulo, 540/546/552 e 566, Belo Horizonte, MG,Av. Dr. Soares De Oliveira, 280 e 272, 282 e 284 e Rua Dr. Getúlio Vargas, 305, Ituverava, SP,Av. Presidente Vargas, 670, Presidente Epitácio, SP,Av. Jabaquara, 2979, Mirandópolis, SP,"
160,HLOG11,Logística,"89,27","9,57%","8,67%","0,77",379.398.000,121.687,5,"1.882,09","204,08","10,84%","2,26%","Rua Citlog, 333, Bairro Aeroporto, Varginha - MG,Rua Costa Barros, 3089, Vila Prudente, São Paulo - SP,Rodovia Engenheiro Ermínio de Oliveira Penteado, SP-073, Salto - SP,Galpão na Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP"
161,HMOC11,Shoppings,"226,95","2,17%","0,00%","0,95",86.698.800,0,0,"0,00","0,00","3,27%","0,00%","Rua Manoel da Nobrega, 712, Centro, Diadema - SP"
162,HOFC11,Lajes Corporativas,"23,22","14,92%","9,60%","0,26",87.748.400,109.224,4,"2.002,33","496,40","24,79%","33,07%","Rua Bela Cintra, 986, São Paulo - SP,Av. Morumbi, 8.234, São Paulo - SP,Alameda Santos, nº 1.039, São Paulo - SP,Av. das Nações Unidas, 17.891, São Paulo - SP"
163,HOSI11,Híbrido,"58,02","11,87%","10,29%","0,62",33.271.600,11.788,0,"0,00","0,00","0,00%","0,00%",
164,HPDP11,Shoppings,"72,00","8,64%","7,62%","0,81",209.435.000,6.338,1,"1.646,43","153,70","9,34%","4,49%","Av. Guilherme Campos 500, Campinas - SP"
165,HRDF11,Híbrido,"5,05","0,59%","0,00%","4,45",38.315.000,2.898,0,"0,00","0,00","0,00%","0,00%",
166,HREC11,Títulos e Val. Mob.,"84,86","13,18%","13,27%","0,92",437.603.000,94.958,0,"0,00","0,00","0,00%","0,00%",
167,HSAF11,Títulos e Val. Mob.,"85,50","11,74%","13,40%","0,92",216.004.000,443.255,0,"0,00","0,00","0,00%","0,00%",
168,HSLG11,Logística,"94,90","7,46%","8,80%","0,91",1.201.440.000,974.941,5,"2.724,37","225,16","8,26%","0,00%","Rod. BR 116 (Contorno Leste), nº 7000, no município de São José dos Pinhais, Estado do Paraná,,Avenida Comendador Masatoshi Shinmyo, nº 300, no município de Arujá, estado de São Paulo,Avenida Torquato Tapajós, 5709 - Novo Israel, Manaus - AM,Rodovia Municipal Vereador Joaquim Costa, nº 2000, no município de Contagem, Estado de Minas Gerais,Rodovia Coronel PM Nelson Tranchesi, números 740 e 990, no município de Itapevi, Estado de São Paulo"
169,HSML11,Shoppings,"92,70","9,55%","8,95%","0,98",1.462.860.000,2.812.710,7,"9.782,95","781,96","7,99%","5,28%","Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900,Rodovia Raposo Tavares, Km 23, CEP: 06709-015 Lageadinho - Cotia/SP ,Av. Santa Beatriz da Silva, 1501 - São Benedito Uberaba MG,Rua Paranabi, 218-224, CEP: 02307120, Tucuruvi, São Paulo-SP,Estrada da Floresta, 2320, CEP: 69912900, Floresta Sul, Rio Branco - AC,Avenida Luiz Viana, nº 8544, CEP 41730-101 - Alphaville - Salvador, BA,Av. dos Autonomistas, 1828 - Industrial Autonomistas, Osasco - SP, 06020-010"
170,HSRE11,Híbrido,"103,00","7,07%","7,23%","1,07",916.569.000,361.146,27,"8.548,30","700,42","8,19%","0,00%","Cidade de Belo Horizonte, Minas Gerais, Rua Goitacazes, 182,Cidade de Goiânia, Goiás, na Avenida T-10, 1.300,Cidade de Salvador, Estado da Bahia, na Avenida Centenário, 2.992,Cidade de Recife, Pernambuco, na Avenida Conde da Boa Vista, 484,Cidade de Duque de Caxias, Rio de Janeiro, na Praça Pacificador, 39,Cidade de Brasília, Distrito Federal, no Setor Comercial Sul Q.6, Asa Sul,Cidade de São Paulo, São Paulo, na Av. São João, 455 e Rua 24 de Maio, 70/90,Cidade de Niterói, Rio de Janeiro, na Rua Quinze de Novembro, 08,Cidade de Campinas, São Paulo, na Rua Treze de Maio nº 520,Cidade de Fortaleza, Estado do Ceará, na Avenida Washington Soares, 85,Cidade de Salvador, Estado da Bahia, na Avenida Centenário, 2.992,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Barão de São Francisco, 236,Cidade de Nova Iguaçu, Rio de Janeiro, na Avenida Nilo Peçanha, 176 e 186,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua Conde do Bonfim, 366,Cidade do Rio de Janeiro, Rio de Janeiro, na Avenida Nossa Senhora de Copacabana, 749,Cidade do Rio de Janeiro, Rio de Janeiro, na Avenida Dom Helder Câmara, 5.474,Cidade de São Paulo, São Paulo, na Av. São João, 455 e Rua 24 de Maio, 70/90,Cidade de Maceió, Estado de Alagoas, na Avenida Comendador Gustavo Paiva, 2.990,Alameda dos Tabajaras nº 50, na Cidade do Rio de Janeiro, Rio de Janeiro,Cidade de Curitiba, Paraná, na Rua Brigadeiro Franco, 2.300,Cidade de Santo André, São Paulo, na Avenida Pereira Barreto nº 42,Cidade do Rio de Janeiro, Rio de Janeiro, na Rua do Ouvidor, 186,Cidade de Vitória, Espírito Santo, na Avenida Jerônimo Monteiro, 1.000,Cidade de Belo Horizonte, Minas Gerais, Avenida Presidente Carlos Luz, 3.001,Cidade de Belém, Pará, na Travessa Padre Eutíquio, 1.078,Rua Oswaldo Cruz nºs 298 e 290; Rua Sete de Setembro nºs 615, 621, 627 e 631; Rua José Augusto Correa nº 295, e está situado na Cidade de São Luís do Maranhão, Maranhão,Cidade de Belo Horizonte, Minas Gerais, na Avenida Cristiano Machado, 4.000"
