,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
23,BBPO11,Lajes Corporativas,"96,95","10,79%","11,13%","0,96",1.543.410.000,1.293.730,63,"3.931,63","462,20","11,76%","0,00%","PCA. RUI BARBOSA, 322, ARACATUBA-SP,AV.PRES.KENNEDY,1461, DUQUE DE CAXIAS-RJ,R.PINHEIROS,1492, SAO PAULO-SP,R.DA BAHIA,2500, BELO HORIZONTE-MG,AV.AFONSO PENA,2202, CAMPO GRANDE-MS,RUA XV DE NOVEMBRO, N. 191, SOROCABA-SP,PCA.RUI BARBOSA,1-55/R.ANT. ALVES, 9-38, BAURU-SP,AV.N.SRA.COPACABANA,594, RIO DE JANEIRO-RJ,RUA MARQUES DO HERVAL, 1354, EDIFICO SATELITE, CAXIAS DO SUL-RS,R.ESPIRITO SANTO,571, ESQ. C/ RUA CARIJÓS, 185, BELO HORIZONTE-MG,AV.ERNANI AMARAL PEIXOTO, 347, NITEROI-RJ,RUA 7 DE SETEMBRO, 1209, TOLEDO-PR,R.DR.COSTA AGUIAR,626, CAMPINAS-SP,RUA GUILHERME MOREIRA, 315, MANAUS-AM,R.VOLUNTARIOS DE S.PAULO,2975, SAO JOSE DO RIO PRETO-SP,R. FELINTO MULLER, 2104/PRES.JOSE LINHARES, 50, CUIABA-MT,AV.GOV.PEDRO DE TOLEDO,1099, CAMPINAS-SP,R.BOM PASTOR,153/169, SAO PAULO-SP,R.VOLUNTARIOS DA PATRIA,1769, SAO PAULO-SP,QD. 1, BL.G, LT. 32, BRASILIA-DF,SEPN QUADRA 504 BL B EDIFICIO VIRGO, BRASILIA-DF,PRACA XV DE NOVEMBRO, 321, FLORIANOPOLIS-SC,R.AUGUSTO RIBAS,555, PONTA GROSSA-PR,AV. GOIAS, 980 - QD.14, GOIANIA-GO,AV.SANTOS DUMONT,2889, FORTALEZA-CE,AV.13 DE MAIO,13, RIO DE JANEIRO-RJ,Praça XV de Novembro, 329, FLORIANOPOLIS-SC,AV.PRES.VARGAS,248, BELEM-PA,AV.BARTOLOMEU MITRE 438-A, RIO DE JANEIRO-RJ,R.BARORE,284, SAO PAULO-SP,R.NOSSA SENHORA DA LAPA, 281, SAO PAULO-SP,AV. AFONSO PENA, 745, ESQUINA R. QUINTINO BOCAIUVA, UBERLANDIA-MG,AV.RIO BRANCO,1437, SAO PAULO-SP,AV.DUQUE DE CAXIAS 448, MARINGA-PR,R.TAMOIOS,731/R. GUARANI, 504, BELO HORIZONTE-MG,R.HONORIO SILVEIRA DIAS,1830, PORTO ALEGRE-RS,AV.RANGEL PESTANA,2128, SAO PAULO-SP,AV.GEREMARIO DANTAS,78, RIO DE JANEIRO-RJ,R.PAULO EIRO,471/PRACA FLORIANO PEIXOTO, 254, SAO PAULO-SP,PCA.JOSE BONIFACIO,945, PIRACICABA-SP,AV W-3, Q.7, LT.7,8 E 9, BRASILIA-DF,AV.SANTA MARINA 2618, SAO PAULO-SP,AV.JABAQUARA 424, SAO PAULO-SP,PR.TIRADENTES,410/AL.DR. MURICY,760/R. CANDIDO LOP, CURITIBA-PR,R.DOMINGOS DE MORAES, 438, SAO PAULO-SP,SDN CONJ A LOJA C-03 2 PAVIMENTO, BRASILIA-DF,AV.PENHA DE FRANCA,549, SAO PAULO-SP,R.RIO DE JANEIRO,750, BELO HORIZONTE-MG,R. BENTO GONCALVES, 516, PASSO FUNDO-RS,R.XV DE NOVEMBRO,63/67, SOROCABA-SP,AV.BERNARDINO DE CAMPOS,250, SAO PAULO-SP,AV.CONSELHEIRO CARRAO,2411, SAO PAULO-SP,PCA.DAS 4 JORNADAS,11, CAMPOS DOS GOYTACAZES-RJ,ALAMEDA DOS JURUPIS, 1156, SAO PAULO-SP,R.CONDE BONFIM,369-A, RIO DE JANEIRO-RJ,R. JOAQUIM NABUCO, 246, SAO PAULO-SP,RUA HALFELD, 770 / ESQ. RUA MARECHAL DEODORO, 497, JUIZ FORA-MG,R.DR.NELSON D AVILA,149-CENTRO, SAO JOSE DOS CAMPOS-SP,PCA.CARDEAL ARCOVERDE,52, SAO CAETANO DO SUL-SP,R.JULIO CONCEICAO,438, SAO PAULO-SP,PRACA GENERAL VALADAO,377, ARACAJU-SE,R.DUQUE DE CAXIAS,725, RIBEIRAO PRETO-SP,RUA SAO BENTO, 483 / RUA LIBERO BADARO, 582, SAO PAULO-SP"
24,BBRC11,Outros,"104,99","10,79%","11,36%","0,97",166.934.000,122.966,20,"10.358,90","1.432,36","13,83%","0,00%","Av. Prof. Francisco Morato, 1214, São Paulo-SP,Av. Portugal, 519, Santo André-SP,Av. Prof. Francisco Morato, 2004, São Paulo-SP,Av. Amador Bueno da Veiga, 1516, São Paulo-SP,Av. São Miguel, 2328, São Paulo-SP,R. Joaquim Floriano, 666, São Paulo-SP,R. Coronel Quirino, 644, Campinas-SP,Av. Eng. Luis Carlos Berrini, 559, São Paulo-SP,Av. Santo Amaro, 2163, São Paulo-SP,R. Guaipá, 1389, São Paulo-SP,Av. Eng. Heitor Antônio Eiras Garcia, 3963, São Paulo-SP,Al. Gabriel Monteiro da Silva, 2032, São Paulo-SP,R. Pires da Mota, 488, São Paulo-SP,R. Estados Unidos, 1931, São Paulo-SP,Av. Brasil, 418, São Paulo-SP,Av. Maria Servidei Demarchi, 1662, São Bernardo do Campo-SP,Av. Paes de Barros, 2621, São Paulo-SP,R. Marechal Deodoro, 440, São Paulo-SP,Av. Gal. Pedro Pinho, 641, Osasco-SP,Av. Indianópolis, 546, São Paulo-SP"
25,BBVJ11,Lajes Corporativas,"62,99","1,24%","0,00%","0,95",197.789.000,0,1,"9.518,21","491,16","5,16%","44,66%","Av. Magalhães de Castro, 4.800 - São Paulo/SP"
26,BCFF11,Títulos e Val. Mob.,"68,14","10,58%","9,83%","0,92",1.716.200.000,2.265.070,0,"0,00","0,00","0,00%","0,00%",
27,BCIA11,Títulos e Val. Mob.,"96,61","10,63%","9,39%","0,93",359.296.000,1.137.480,0,"0,00","0,00","0,00%","0,00%",
28,BCRI11,Títulos e Val. Mob.,"78,99","17,22%","15,53%","0,80",494.309.000,740.232,0,"0,00","0,00","0,00%","0,00%",
29,BICE11,Títulos e Val. Mob.,"980,00","8,41%","12,25%","1,01",69.852.400,1.955,0,"0,00","0,00","0,00%","0,00%",
30,BICR11,Títulos e Val. Mob.,"100,00","13,74%","9,93%","1,00",50.000.000,480,0,"0,00","0,00","0,00%","0,00%",
31,BIME11,Híbrido,"7,43","14,36%","14,98%","0,85",43.432.800,88.419,2,"1.236,55","0,00","0,00%","0,00%","Jamaris - Bairro Moema,Av. Indianópolis, 68"
32,BLCA11,Lajes Corporativas,"137,00","4,91%","4,83%","1,00",219.200.000,67.540,1,"53.733,40","3.102,57","5,77%","0,00%","Avenida Brigadeiro Faria Lima, 3477, Itaim Bibi, Sao Paulo/SP, Brasil, 04538-133"
